Date,Close_TATACHEM,Close_TATASTEEL,Close_TATACOMM,Close_TCS,Close_TATAMOTORS
2010-12-21,374.8,676.2,250.0,1160.8,1350.0
2010-12-22,388.15,672.9,250.8,1149.75,1365.15
2010-12-23,394.4,661.35,249.9,1140.0,1352.75
2010-12-24,391.85,672.85,250.65,1141.1,1306.15
2010-12-27,393.35,662.55,247.3,1141.2,1301.1
2010-12-28,387.8,665.0,248.8,1146.35,1268.9
2010-12-29,387.05,668.05,251.15,1156.95,1273.85
2010-12-30,389.35,672.75,253.95,1170.2,1300.15
2010-12-31,393.9,680.4,255.05,1165.65,1308.35
2011-01-03,404.6,704.05,265.0,1158.05,1308.45
2011-01-04,408.1,694.7,265.4,1144.75,1298.4
2011-01-05,398.7,680.95,260.0,1158.95,1282.8
2011-01-06,385.05,683.3,258.1,1171.7,1261.0
2011-01-07,376.5,661.25,251.9,1142.65,1190.2
2011-01-10,373.45,650.7,248.6,1130.9,1176.7
2011-01-11,379.8,646.55,255.55,1098.5,1158.05
2011-01-12,382.5,648.9,260.3,1135.95,1218.0
2011-01-13,382.0,637.55,256.5,1124.25,1236.7
2011-01-14,381.6,622.45,251.3,1120.15,1182.4
2011-01-17,378.3,625.65,250.0,1137.4,1178.85
2011-01-18,379.1,632.6,250.65,1202.55,1199.55
2011-01-19,379.35,639.6,256.6,1193.0,1192.75
2011-01-20,376.35,634.2,259.4,1212.2,1194.7
2011-01-21,373.25,629.55,258.1,1211.65,1187.4
2011-01-24,373.15,649.25,256.65,1209.2,1188.3
2011-01-25,374.25,655.35,255.7,1188.55,1166.0
2011-01-27,351.6,650.1,241.2,1199.4,1195.85
2011-01-28,345.05,637.45,234.8,1181.35,1150.3
2011-01-31,350.85,639.7,233.05,1159.5,1147.05
2011-02-01,342.55,631.75,226.25,1150.15,1069.05
2011-02-02,335.05,626.25,233.7,1182.45,1114.25
2011-02-03,344.15,638.1,237.3,1183.7,1156.8
2011-02-04,335.6,635.9,233.5,1148.8,1150.85
2011-02-07,332.35,640.4,229.3,1131.15,1146.35
2011-02-08,325.9,619.7,223.05,1125.1,1112.25
